data_version,metric,n_raw_episodes,n_tasks,n_tn_rows,n_nn_pairs,reward_difference,reward_ci90_low,reward_ci90_high,reward_tost_p,reward_status,effect,ci_low,ci_high,p,q,loto_min,loto_max,loto_stable,tier_a,auxiliary_weighting
current_complete_case,tool_argument_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.11177703665012302,0.07294956718422112,0.15233920054762806,9.999000099990002e-05,0.0001666500016665,0.10373257103060272,0.11714380517979206,True,True,False
current_complete_case,tool_name_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.08562588827921416,0.05113448635247237,0.12214439558898592,9.999000099990002e-05,0.0001666500016665,0.07779272977900782,0.09016708241050331,True,True,False
current_complete_case,stage_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.09171691468679394,0.05508891152118989,0.1309478365930118,9.999000099990002e-05,0.0001666500016665,0.08327889456219895,0.09641652716768871,True,True,False
current_complete_case,insertion_rate,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.05190363715595924,0.02456739790911166,0.0795456064412111,0.0010998900109989002,0.0013748625137486254,0.045347080592326165,0.05696233993615694,True,True,False
current_complete_case,substitution_rate,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.019518322329390266,0.006779324273472768,0.035344032738060145,0.0038996100389961006,0.0038996100389961006,0.013679163284833165,0.021491444566162064,True,True,False
complete_five_repeat_cells,tool_argument_distance,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.11653833007305729,0.07827148620378933,0.15684692083820065,9.999000099990002e-05,0.0001666500016665,0.10862990140847796,0.1220411355576673,True,True,False
complete_five_repeat_cells,tool_name_distance,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.09043219596523881,0.05580091893172395,0.12749561713764537,9.999000099990002e-05,0.0001666500016665,0.08265883013567421,0.09511071317327154,True,True,False
complete_five_repeat_cells,stage_distance,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.09710036950586759,0.06129034205702798,0.13637641834023514,9.999000099990002e-05,0.0001666500016665,0.08881616237610328,0.10173639421916425,True,True,False
complete_five_repeat_cells,insertion_rate,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.051322959363775386,0.02378832659976575,0.07925846641677442,0.000999900009999,0.00124987501249875,0.044749812006079914,0.05636507134991069,True,True,False
complete_five_repeat_cells,substitution_rate,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.019303205479334066,0.006457646523683936,0.035177234447796336,0.0046995300469953,0.0046995300469953,0.013457900239061071,0.02127018152038997,True,True,False
complete_c0_c4_cells,tool_argument_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.11177703665012302,0.07294956718422112,0.15233920054762806,9.999000099990002e-05,0.0001666500016665,0.10373257103060272,0.11714380517979206,True,True,False
complete_c0_c4_cells,tool_name_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.08562588827921416,0.05113448635247237,0.12214439558898592,9.999000099990002e-05,0.0001666500016665,0.07779272977900782,0.09016708241050331,True,True,False
complete_c0_c4_cells,stage_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.09171691468679394,0.05508891152118989,0.1309478365930118,9.999000099990002e-05,0.0001666500016665,0.08327889456219895,0.09641652716768871,True,True,False
complete_c0_c4_cells,insertion_rate,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.05190363715595924,0.02456739790911166,0.0795456064412111,0.0010998900109989002,0.0013748625137486254,0.045347080592326165,0.05696233993615694,True,True,False
complete_c0_c4_cells,substitution_rate,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.019518322329390266,0.006779324273472768,0.035344032738060145,0.0038996100389961006,0.0038996100389961006,0.013679163284833165,0.021491444566162064,True,True,False
balanced_common_min,tool_argument_distance,1072,36,536,1067,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.11545515047595306,0.07771873620696979,0.1550259473642197,9.999000099990002e-05,0.0001666500016665,0.10751577382288506,0.12092700797207438,True,True,False
balanced_common_min,tool_name_distance,1072,36,536,1067,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.08902523770289891,0.055278418172997765,0.12506989280644423,9.999000099990002e-05,0.0001666500016665,0.08128920347194073,0.09366355610343623,True,True,False
balanced_common_min,stage_distance,1072,36,536,1067,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.09591590875048536,0.06070770363434074,0.1343062618515301,9.999000099990002e-05,0.0001666500016665,0.08759785988485297,0.10051809172791396,True,True,False
balanced_common_min,insertion_rate,1072,36,536,1067,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.05221754169638183,0.02479803504089094,0.07990882675747683,0.000999900009999,0.00124987501249875,0.04566995383390369,0.05728521317773445,True,True,False
balanced_common_min,substitution_rate,1072,36,536,1067,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.019533717649049587,0.006749866956425056,0.03541878709612646,0.0040995900409959,0.0040995900409959,0.013694998470768468,0.021507279752097368,True,True,False
exclude_any_missing_c1c2,tool_argument_distance,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.11653833007305729,0.07827148620378933,0.15684692083820065,9.999000099990002e-05,0.0001666500016665,0.10862990140847796,0.1220411355576673,True,True,False
exclude_any_missing_c1c2,tool_name_distance,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.09043219596523881,0.05580091893172395,0.12749561713764537,9.999000099990002e-05,0.0001666500016665,0.08265883013567421,0.09511071317327154,True,True,False
exclude_any_missing_c1c2,stage_distance,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.09710036950586759,0.06129034205702798,0.13637641834023514,9.999000099990002e-05,0.0001666500016665,0.08881616237610328,0.10173639421916425,True,True,False
exclude_any_missing_c1c2,insertion_rate,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.051322959363775386,0.02378832659976575,0.07925846641677442,0.000999900009999,0.00124987501249875,0.044749812006079914,0.05636507134991069,True,True,False
exclude_any_missing_c1c2,substitution_rate,2642,36,530,1060,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.019303205479334066,0.006457646523683936,0.035177234447796336,0.0046995300469953,0.0046995300469953,0.013457900239061071,0.02127018152038997,True,True,False
exclude_mistral,tool_argument_distance,1800,36,360,720,-0.0027777777777777796,-0.03888888888888889,0.03333333333333334,0.0224788753632313,OUTCOME_EQUIVALENT_STRONG,0.12412517503236309,0.08398952838098354,0.1658961916264775,9.999000099990002e-05,0.0001666500016665,0.1157070652116015,0.1297995663612455,True,True,False
exclude_mistral,tool_name_distance,1800,36,360,720,-0.0027777777777777796,-0.03888888888888889,0.03333333333333334,0.0224788753632313,OUTCOME_EQUIVALENT_STRONG,0.10258155659916636,0.062119328986704296,0.14886805857102506,9.999000099990002e-05,0.0001666500016665,0.08913490719587723,0.10768437201677063,True,True,False
exclude_mistral,stage_distance,1800,36,360,720,-0.0027777777777777796,-0.03888888888888889,0.03333333333333334,0.0224788753632313,OUTCOME_EQUIVALENT_STRONG,0.10145831608066741,0.06317155125422094,0.1449621288369924,9.999000099990002e-05,0.0001666500016665,0.08879590062174769,0.10652903891202885,True,True,False
exclude_mistral,insertion_rate,1800,36,360,720,-0.0027777777777777796,-0.03888888888888889,0.03333333333333334,0.0224788753632313,OUTCOME_EQUIVALENT_STRONG,0.04955997668711498,0.014705612059468394,0.08788619280207237,0.008599140085991401,0.010748925107489251,0.03843686037477404,0.05469026173531826,True,True,False
exclude_mistral,substitution_rate,1800,36,360,720,-0.0027777777777777796,-0.03888888888888889,0.03333333333333334,0.0224788753632313,OUTCOME_EQUIVALENT_STRONG,0.016958317168748138,0.003647094545701885,0.033529249281385044,0.019198080191980802,0.019198080191980802,0.010752364325950465,0.018585697659283803,True,True,False
exclude_retail,tool_argument_distance,1342,18,270,536,-0.018518518518518514,-0.05555555555555555,0.014814814814814817,0.08615212096931867,OUTCOME_EQUIVALENT_PROVISIONAL,0.15163003617482007,0.09150387204776925,0.2106457548325619,0.00019998000199980003,0.000999900009999,0.13741219516549574,0.1650235595902973,True,False,False
exclude_retail,tool_name_distance,1342,18,270,536,-0.018518518518518514,-0.05555555555555555,0.014814814814814817,0.08615212096931867,OUTCOME_EQUIVALENT_PROVISIONAL,0.1078301436645732,0.05969312746233266,0.1574823372474284,0.0006999300069993001,0.0011665500116655,0.09567882242526614,0.11831549419698938,True,False,False
exclude_retail,stage_distance,1342,18,270,536,-0.018518518518518514,-0.05555555555555555,0.014814814814814817,0.08615212096931867,OUTCOME_EQUIVALENT_PROVISIONAL,0.12119451853011037,0.06763604647818765,0.17803083472833492,0.0004999500049995,0.0011665500116655,0.1055561008526099,0.13215657817655896,True,False,False
exclude_retail,insertion_rate,1342,18,270,536,-0.018518518518518514,-0.05555555555555555,0.014814814814814817,0.08615212096931867,OUTCOME_EQUIVALENT_PROVISIONAL,0.02961457323727297,-0.006334521755023026,0.06451037636958884,0.12708729127087293,0.12708729127087293,0.02051540893944395,0.03871842814246316,True,False,False
exclude_retail,substitution_rate,1342,18,270,536,-0.018518518518518514,-0.05555555555555555,0.014814814814814817,0.08615212096931867,OUTCOME_EQUIVALENT_PROVISIONAL,0.03230817919420396,0.01124484036388771,0.06031565541522999,0.0040995900409959,0.005124487551244876,0.02103872568275191,0.03712283420313493,True,False,False
exclude_airline,tool_argument_distance,1338,18,267,540,0.04814814814814815,0.0037037037037037,0.1,0.4760649470380607,OUTCOME_NOT_EQUIVALENT,0.07192403712542603,0.029651315145759607,0.1195669452461119,0.0044995500449955,0.01124887511248875,0.0611459501827149,0.08035147015294075,True,False,False
exclude_airline,tool_name_distance,1338,18,267,540,0.04814814814814815,0.0037037037037037,0.1,0.4760649470380607,OUTCOME_NOT_EQUIVALENT,0.0634216328938551,0.016301473346612225,0.11650312343263729,0.0206979302069793,0.026997300269973004,0.04598840919429155,0.07146501755325285,True,False,False
exclude_airline,stage_distance,1338,18,267,540,0.04814814814814815,0.0037037037037037,0.1,0.4760649470380607,OUTCOME_NOT_EQUIVALENT,0.06223931084347751,0.01649960737564904,0.11422571103664851,0.021597840215978402,0.026997300269973004,0.045606414010825776,0.07018100690159515,True,False,False
exclude_airline,insertion_rate,1338,18,267,540,0.04814814814814815,0.0037037037037037,0.1,0.4760649470380607,OUTCOME_NOT_EQUIVALENT,0.07419270107464553,0.03764977436401047,0.11459122594226757,0.0006999300069993001,0.0034996500349965005,0.06200502955650015,0.08034995641613288,True,False,False
exclude_airline,substitution_rate,1338,18,267,540,0.04814814814814815,0.0037037037037037,0.1,0.4760649470380607,OUTCOME_NOT_EQUIVALENT,0.006728465464576575,-0.005279767660323219,0.0185513978691062,0.29787021297870214,0.29787021297870214,0.0036924605895194123,0.009747699468287702,True,False,False
inverse_availability_weighting,tool_argument_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.11177703665012302,0.07294956718422112,0.15233920054762806,9.999000099990002e-05,0.0001666500016665,0.10373257103060272,0.11714380517979206,True,True,True
inverse_availability_weighting,tool_name_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.08562588827921416,0.05113448635247237,0.12214439558898592,9.999000099990002e-05,0.0001666500016665,0.07779272977900782,0.09016708241050331,True,True,True
inverse_availability_weighting,stage_distance,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.09171691468679394,0.05508891152118989,0.1309478365930118,9.999000099990002e-05,0.0001666500016665,0.08327889456219895,0.09641652716768871,True,True,True
inverse_availability_weighting,insertion_rate,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.05190363715595924,0.02456739790911166,0.0795456064412111,0.0010998900109989002,0.0013748625137486254,0.045347080592326165,0.05696233993615694,True,True,True
inverse_availability_weighting,substitution_rate,2680,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.019518322329390266,0.006779324273472768,0.035344032738060145,0.0038996100389961006,0.0038996100389961006,0.013679163284833165,0.021491444566162064,True,True,True
