task_cluster,domain,task_id,task_family,n_tn_rows,n_nn_pairs,reward_difference,tool_argument_distance_tn,tool_argument_distance_nn,tool_argument_distance_effect,tool_name_distance_tn,tool_name_distance_nn,tool_name_distance_effect,stage_distance_tn,stage_distance_nn,stage_distance_effect,leave_one_task_out_effect,influence_delta,cook_like_influence,process_direction
airline:12,airline,12,single,75,30,0.06666666666666667,0.5736878306878307,0.4136111111111111,0.1600767195767196,0.4963798941798941,0.34222222222222226,0.15415767195767183,0.48140105820105816,0.33388888888888885,0.14751216931216932,0.08366783731697253,0.0019580509622416364,0.3767328796030497,positive
airline:17,airline,17,compound,75,30,0.0,0.56,0.16666666666666666,0.3933333333333334,0.23961904761904756,0.13999999999999999,0.09961904761904758,0.5203809523809523,0.13333333333333333,0.387047619047619,0.08522608372664749,0.0003998045525666766,0.015706557675123262,positive
airline:18,airline,18,compound,75,30,0.0,0.44247313082364914,0.4715107274793976,-0.029037596655748454,0.3634507909443971,0.421401676612674,-0.05795088566827694,0.387526031617834,0.4057203751065643,-0.01819434348873028,0.08972808182057106,-0.004102193541356894,1.6535519211137841,negative
airline:2,airline,2,read,75,30,0.0,0.6634478114478114,0.3233862433862434,0.340061568061568,0.4663703703703705,0.25501322751322747,0.21135714285714302,0.43306397306397304,0.2164550264550264,0.21660894660894664,0.08203356671984478,0.0035923215593693797,1.2680487568515093,positive
airline:22,airline,22,compound,75,30,0.06666666666666667,0.5258974358974359,0.3722222222222222,0.1536752136752137,0.3256752136752137,0.28055555555555556,0.045119658119658124,0.3356752136752137,0.28055555555555556,0.05511965811965813,0.08678320914091577,-0.0011573208617016023,0.13161127808943257,positive
airline:23,airline,23,compound,75,30,-0.06666666666666667,0.6543498787846614,0.4143854293854294,0.23996444939923206,0.5209505502548981,0.3431990231990232,0.17775152705587494,0.4903619713619714,0.32825600325600324,0.16210596810596817,0.08299372717130955,0.0026321611079046098,0.6807857847327962,positive
airline:30,airline,30,single,75,30,-0.33333333333333337,0.6016825396825397,0.33833333333333326,0.26334920634920644,0.48111111111111104,0.26944444444444443,0.21166666666666661,0.4851111111111111,0.26944444444444443,0.21566666666666667,0.0820247231824298,0.0036011650967843617,1.2742997785015697,positive
airline:32,airline,32,compound,75,30,-0.06666666666666667,0.4276864246864247,0.3450757575757576,0.08261066711066711,0.3173986753986754,0.27095959595959596,0.046439079439079434,0.3131228401228401,0.27095959595959596,0.04216324416324413,0.08674551138893229,-0.0011196231097181236,0.1231768946630683,positive
airline:33,airline,33,compound,75,30,0.0,0.5617684537684539,0.37085303585303586,0.190915417915418,0.43405971805971805,0.30821567321567317,0.12584404484404488,0.38696547896547895,0.2792229992229992,0.10774247974247975,0.08447679809164757,0.0011490901875665926,0.12974593956047165,positive
airline:37,airline,37,single,75,30,0.0,0.49138095238095225,0.31369047619047613,0.17769047619047612,0.4089365079365079,0.2507936507936508,0.15814285714285709,0.3722698412698412,0.2507936507936508,0.1214761904761904,0.08355397488311007,0.0020719133961040886,0.42182152741208706,positive
airline:39,airline,39,compound,75,30,0.0,0.20375076775076775,0.18519841269841267,0.018552355052355085,0.20375076775076775,0.18519841269841267,0.018552355052355085,0.20375076775076775,0.18519841269841267,0.018552355052355085,0.0875422749428387,-0.0019163866636245364,0.36087086694750536,positive
airline:4,airline,4,read,75,30,-0.06666666666666665,0.6808974358974359,0.4866666666666667,0.1942307692307692,0.5440659340659341,0.26523809523809533,0.27882783882783874,0.5487838827838829,0.28523809523809524,0.26354578754578767,0.08010583254925345,0.005520055729960713,2.9941425139393445,positive
airline:41,airline,41,read,75,30,0.0,0.1717845117845118,0.13127104377104376,0.04051346801346803,0.12872053872053874,0.10622895622895621,0.02249158249158252,0.12872053872053874,0.10622895622895621,0.02249158249158252,0.0874297255874322,-0.001803837308218037,0.3197277071871962,positive
airline:42,airline,42,compound,75,30,-0.06666666666666667,0.27461042097998617,0.26587301587301587,0.008737405106970297,0.24288440303657693,0.23253968253968255,0.010344720496894388,0.24288440303657693,0.23253968253968255,0.010344720496894388,0.08777677878728045,-0.002150890508066286,0.4545923774008699,positive
airline:43,airline,43,read,75,30,0.13333333333333341,0.262992742551566,0.0992063492063492,0.16378639334521683,0.18870702826585178,0.03571428571428571,0.15299274255156609,0.18870702826585178,0.03571428571428571,0.15299274255156609,0.08370112101428981,0.0019247672649243541,0.3640340362283785,positive
airline:44,airline,44,compound,75,30,0.0,0.3461802427782819,0.4222401046665753,-0.07605986188829339,0.31257252297448374,0.3829933383609854,-0.07042081538650169,0.31309313816176554,0.37825363362128067,-0.06516049545951513,0.09008436552680604,-0.00445847724759188,1.953253686134951,negative
