construction,iteration,metric,effect,ci_low,ci_high,p,loto_min,loto_max,positive,significant,n_tasks,method
ALL_VALID_PAIRS,-1,tool_argument_distance,0.11184566472826932,0.07478367161611936,0.15037264356702967,9.999000099990002e-05,0.10380315991098177,0.11721439406017108,True,True,36,ALL_VALID_PAIRS
ALL_VALID_PAIRS,-1,tool_name_distance,0.08545333273087245,0.051262908562935944,0.12094840332786835,9.999000099990002e-05,0.07761524407214206,0.08998959670363754,True,True,36,ALL_VALID_PAIRS
ALL_VALID_PAIRS,-1,stage_distance,0.09185618553644778,0.05752029813028778,0.13043802568248747,9.999000099990002e-05,0.08342214457898574,0.09634237642204672,True,True,36,ALL_VALID_PAIRS
DISJOINT_MATCHING,-1,tool_argument_distance,0.1124527345398969,0.07130503213875346,0.15302147654107276,9.999000099990002e-05,0.10633233647913204,0.12087011510262496,True,True,36,DISJOINT_MATCHING
DISJOINT_MATCHING,-1,tool_name_distance,0.08415702637157157,0.0427475718891974,0.1268084869473874,0.00029997000299970003,0.07418666229305165,0.09157814594167815,True,True,36,DISJOINT_MATCHING
DISJOINT_MATCHING,-1,stage_distance,0.08974963875922697,0.04738661068806593,0.13549524470964885,0.00029997000299970003,0.0791306941976992,0.0966077145318624,True,True,36,DISJOINT_MATCHING
CELL_LEVEL_U_STATISTIC,-1,tool_argument_distance,0.11184566472826932,0.07478367161611936,0.15037264356702967,9.999000099990002e-05,0.10380315991098177,0.11721439406017108,True,True,36,CELL_LEVEL_U_STATISTIC
CELL_LEVEL_U_STATISTIC,-1,tool_name_distance,0.08545333273087245,0.051262908562935944,0.12094840332786835,9.999000099990002e-05,0.07761524407214206,0.08998959670363754,True,True,36,CELL_LEVEL_U_STATISTIC
CELL_LEVEL_U_STATISTIC,-1,stage_distance,0.09185618553644778,0.05752029813028778,0.13043802568248747,9.999000099990002e-05,0.08342214457898574,0.09634237642204672,True,True,36,CELL_LEVEL_U_STATISTIC
RANDOM_ONE_TO_ONE_MATCHING,0,tool_argument_distance,0.10400427281236085,0.06895338991680526,0.1430916624167134,0.0008326394671107411,0.09383296632128546,0.10953991068560633,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,0,tool_name_distance,0.07729529710868076,0.04136460660260285,0.1130302114825585,0.0008326394671107411,0.07075081724458329,0.08400814221233939,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,0,stage_distance,0.08730369270891886,0.04872832327073229,0.12706332170891513,0.0008326394671107411,0.07778719957543219,0.09303689686090626,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,1,tool_argument_distance,0.12304039817857307,0.08320946331574998,0.1672344234131288,0.0008326394671107411,0.11341298098367517,0.12977615643256488,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,1,tool_name_distance,0.0894385532556349,0.05253007116486045,0.12737617590620584,0.0008326394671107411,0.08100797883411996,0.09582009740338138,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,1,stage_distance,0.10110666151704764,0.061332548937493084,0.14446608096626087,0.0008326394671107411,0.09198453892093607,0.10709874746371605,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,2,tool_argument_distance,0.09792781589054005,0.057409797614036834,0.14231086570073023,0.0008326394671107411,0.08811930808096721,0.10249425393106834,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,2,tool_name_distance,0.0764612031014365,0.03741158550861652,0.11650856479084351,0.0016652789342214821,0.06942147027999607,0.08124556470409049,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,2,stage_distance,0.0808171321960949,0.04303168703843121,0.11976435910820404,0.0016652789342214821,0.07397245161938469,0.08574742125636228,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,3,tool_argument_distance,0.11322707245895017,0.07325177922062551,0.15399453370138283,0.0008326394671107411,0.10609113600106734,0.1198417235087977,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,3,tool_name_distance,0.08882857078178558,0.04937729622804807,0.12864748412346375,0.0008326394671107411,0.08108403149305243,0.09461581188197568,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,3,stage_distance,0.09310719582872934,0.055524947761802945,0.13232525704894357,0.0008326394671107411,0.08661365992723724,0.09886023699370225,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,4,tool_argument_distance,0.10521423032338044,0.060269963677197336,0.15052127368574966,0.0008326394671107411,0.09602987499928657,0.11210133617634997,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,4,tool_name_distance,0.0801311897321551,0.04119402090940042,0.12106119980252404,0.0016652789342214821,0.07366773537158547,0.08552764434942162,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,4,stage_distance,0.08111987561823902,0.0385499811905921,0.12757911489061632,0.0008326394671107411,0.07047432104406628,0.08688490403924311,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,5,tool_argument_distance,0.10484192555041144,0.06504457566087755,0.14727324414069845,0.0008326394671107411,0.0946945519947089,0.11105772744359865,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,5,tool_name_distance,0.07846267608980301,0.03906640156563596,0.1187163678636231,0.0008326394671107411,0.06892485438418493,0.08453062374709715,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,5,stage_distance,0.08497498991799313,0.04213732928227291,0.13136724051303572,0.0008326394671107411,0.0748148649133825,0.0905061709618314,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,6,tool_argument_distance,0.11623152762444183,0.07741816806740837,0.15775162194703424,0.0008326394671107411,0.10640957127085444,0.1228906963134641,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,6,tool_name_distance,0.09294154767023136,0.060181378827400586,0.12741907596529622,0.0008326394671107411,0.08531452200688237,0.09764775667863244,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,6,stage_distance,0.10384645119580865,0.06827824335979664,0.14140849827223034,0.0008326394671107411,0.09480260830480454,0.10920455451193282,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,7,tool_argument_distance,0.13128033675189454,0.08776055445238329,0.1778654207675636,0.0008326394671107411,0.12188834637337724,0.13784390192893278,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,7,tool_name_distance,0.10792421022862472,0.0704326086661909,0.1465117515914984,0.0008326394671107411,0.1007252606383727,0.1143704197121032,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,7,stage_distance,0.11499842811136597,0.0758107854674921,0.15443785285916728,0.0008326394671107411,0.10627321313223494,0.12124524638998252,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,8,tool_argument_distance,0.10326522746636041,0.06072644381584674,0.14809865455911744,0.0008326394671107411,0.09418449370565901,0.11142010782698741,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,8,tool_name_distance,0.07505224906826487,0.03584878196622402,0.11484618647725288,0.0008326394671107411,0.06601222468584095,0.08221323214399125,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
RANDOM_ONE_TO_ONE_MATCHING,8,stage_distance,0.08069819032869356,0.04332274527989748,0.11861736503170955,0.0016652789342214821,0.07101110914534105,0.08729765328902805,True,True,36,RANDOM_ONE_TO_ONE_MATCHING
