spec_id,representation,distance,normalization,call_filtering,pairing,aggregation,estimator,data_inclusion,outcome_restriction,effect,ci_low,ci_high,p,q,direction,n_tasks,main_observation_retained,family
S0022,tool_name,raw_edit_count,max,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8781481481481482,0.4449444444444445,1.3172314814814814,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
S0023,tool_name,raw_edit_count,max,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8743441401593576,0.441446523624211,1.3244406734849061,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0024,tool_name,raw_edit_count,max,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.7005864197530864,0.35742824074074075,1.071181327160494,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0025,tool_name,raw_edit_count,mean,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8714814814814816,0.432212962962963,1.3363611111111107,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0026,tool_name,raw_edit_count,mean,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.7899074074074074,0.4035856481481482,1.2129930555555557,0.001665741254858412,0.001713333862140081,positive,36,True,tool_name|all_valid
S0027,tool_name,raw_edit_count,mean,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8781481481481482,0.46388888888888885,1.3295324074074069,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0028,tool_name,raw_edit_count,mean,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8743441401593576,0.45539844281903463,1.304075456006464,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0029,tool_name,raw_edit_count,mean,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.7005864197530864,0.33529320987654315,1.0441342592592588,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0030,tool_name,raw_edit_count,reference,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8714814814814816,0.440550925925926,1.2920694444444443,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0031,tool_name,raw_edit_count,reference,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.7899074074074074,0.41615046296296304,1.210282407407408,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
S0032,tool_name,raw_edit_count,reference,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8781481481481482,0.46882870370370366,1.317305555555555,0.001665741254858412,0.001713333862140081,positive,36,True,tool_name|all_valid
S0033,tool_name,raw_edit_count,reference,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8743441401593576,0.41220223398001177,1.3325795663676094,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
S0034,tool_name,raw_edit_count,reference,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.7005864197530864,0.3316280864197531,1.0760810185185181,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
S0035,tool_name,raw_edit_count,none,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8714814814814816,0.4574907407407408,1.322222222222222,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0036,tool_name,raw_edit_count,none,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.7899074074074074,0.4039791666666667,1.1985532407407402,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0037,tool_name,raw_edit_count,none,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8781481481481482,0.4686527777777779,1.3222731481481478,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0038,tool_name,raw_edit_count,none,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8743441401593576,0.4485737372139848,1.3009703202225846,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0039,tool_name,raw_edit_count,none,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.7005864197530864,0.361837962962963,1.0628433641975308,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0040,tool_name,lcs_distance,max,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.10754729612336007,0.0651476109878914,0.153378371607124,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0041,tool_name,lcs_distance,max,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.10963212979663457,0.06645625071817414,0.15551574730718468,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0042,tool_name,lcs_distance,max,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.11034265490401297,0.06848044310409193,0.1549508099037541,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
