language_act,target_channel,direction,effect_size,CI,model,task,experiment,strength,replicated
urgency (compression),clarification (V_user),DOWN,-0.504 turns / +10pp zero-clar,"[-0.855,-0.162]",qwen25_72b,BFCL-deep,R9v2,STRONG,partial(R9v1 weak)
urgency (compression),tool verification (reads_before_write),~none,+0.179,"[-0.15,+0.51]",qwen25_72b,BFCL-deep,R9v2,null,-
skepticism (inflation),clarification (V_user),UP,+0.333,"[-0.04,+0.68]",qwen25_72b,BFCL-deep,R9v2,candidate,-
skepticism (inflation),tool verification (reads_before_write),UP,+0.325,"[-0.02,+0.70]",qwen25_72b,BFCL-deep,R9v2,candidate,-
skepticism (inflation),write timing (first_write_step),DELAY(UP),+0.414,"[+0.05,+0.80]",qwen25_72b,BFCL-deep,R9v2,STRONG-local,-
progression/continuation,tool use / autonomous progression,UP,+0.343 tools (main effect),,gemma/gpt-oss/mistral,tau2,R6,STRONG,yes(R6 factorial)
affect (praise/insult/abuse),route allocation,CHANGE,+0.24~0.32 route dist,q~.001,gemma/gpt-oss/mistral,tau2,R6,STRONG,yes
explicit verify-more,verification_effort,UP,+160~170% (VE 1.84->4.83; 2.45->6.62),,qwen + gemma/mistral,BFCL,R9v2+R9v1,VERY STRONG,yes(2 batches)
explicit verify-less,verification_depth,~none(resistant),reduction only high-VD -0.27,,qwen25_72b,BFCL-deep,R9v2,null/asymmetric,-
