source_path,source_bytes,source_sha256,archive_path,archive_bytes,archive_sha256
"logs/r6_full_mistral_resume_max384_20260629.log",12645,2c829bbef5b894c85852f662fc5a8721abd956649eda4a9294145d961c830066,"logs_archive/r6_full_mistral_resume_max384_20260629.log.gz",3124,e572709d71e92d1c7e4523723471966cf95bf024a99ecd66920fbcd27d3aeab8
"logs/r6_full_mistral_resume_max384_jsonfix_20260629.log",4908900,a7661e0a34b23aa8eeb0be1f4fcd111bb9db61248901aa53be22827b59e0b816,"logs_archive/r6_full_mistral_resume_max384_jsonfix_20260629.log.gz",324873,78c8f644a56c6998bea92a4e0049416190bfed3dd1350c81e99d9da9bbaffc48
"logs/r6_full_mistral_resume_minlive_maxtokens_fix_20260629.log",1780496,726033fab22ced28deec9bece8973f2d337d3078e646215eec54efb37635aa96,"logs_archive/r6_full_mistral_resume_minlive_maxtokens_fix_20260629.log.gz",110172,5cefa83d7176ab6afa67ddd13bebe7434648f36452d22655669d1bb291eef131
"logs/r6_preflight_mistral.log",289224,3cccba46e264ade02adbd5fdbea60eb25b3244dffcd95c19fbbc9f82728a7b1a,"logs_archive/r6_preflight_mistral.log.gz",22015,d1bfb881dc847437c4293659608b2f8b9f41a87e75c593f0a1afecc0547a072f
"logs/r7_full_queue_20260702_043032.log",170,e8ab4fdc89add9b61ef64c65279fd4a1c830ae0cb5314bfe35604fa639e673fc,"logs_archive/r7_full_queue_20260702_043032.log.gz",167,e970258d555005c57d7b98ea2fb73a96bfce4ef740c1ed7d23839b0059d51e2e
"logs/r7_full_queue_20260703_041542.log",40293,9b6cff71171ba928c9143ee93cbb487d988f746f3e15b17b12ab5cd3009328e1,"logs_archive/r7_full_queue_20260703_041542.log.gz",2262,0b01da6df70a5efe25837e4de487ce241d80fa146ce976455ee493ad73672ce2
"logs/r7_full_queue_20260704_034218.log",2503881,4b46ffee8f03327d543800b367cd3c34a00fb652aa258d6a314fc0e45a004574,"logs_archive/r7_full_queue_20260704_034218.log.gz",177358,11520c25b8f51fb5b41c2c64fd933afccc2f838361b110a509238df3ea8e85dd
"logs/r7_full_queue_20260705_170732.log",17218376,dc98356df32fc874edcf6f9f01a500e75b742f606de65a01f32b97d24bdd497f,"logs_archive/r7_full_queue_20260705_170732.log.gz",1047708,d1d75d88cb4ca994c9bdfc79eb5a72a5c9d1d5a1f34d3bf65d0083ce1ab53a1e
"logs/r7_processguard_20260706_140838.log",16301,40383bf88a4e8910ae2fd8c53fe5b87088ea91357c1a3b2e2541134f7e20d71e,"logs_archive/r7_processguard_20260706_140838.log.gz",1666,2b9cda84136325a8c493b9ce05e157ca287bdce8c36afc610136d456324a8b39
"logs/r7b_full_queue_20260708_021257.log",9103,9d6e6f7d3600be42a38f5861aeb4fefaaa7cc4a7ed57f44b4de022abb2e9c5d6,"logs_archive/r7b_full_queue_20260708_021257.log.gz",2119,8f8af9365c39bb567705f60219b20bb8c426a2633750ef37181dd5d7ceb5b8b5
"logs/r7b_full_queue_20260708_021851.log",79,d6ba165c1d088fc20a85e70c07a1d93599b755b7cf359c80daf7a1cfe14dba6c,"logs_archive/r7b_full_queue_20260708_021851.log.gz",94,54a97e5c07e522e5dcc4cee7c67c19a17b438790918308ec767aa342503a04fa
"logs/r7b_full_queue_20260708_021958.log",128311,5eec802455a36970409c8cb1bd349f0a9bfc52d110962d1d8c79aec13833491c,"logs_archive/r7b_full_queue_20260708_021958.log.gz",9223,8dc102c795921cf883db9d330c023d59f44e7620f2ef73b278b4cafeea5f222f
"logs/r7b_full_queue_20260708_022104.log",25964,9e5723a647fae16adb6bb078d933b9920c2c1c8423f7a9b2de1cd129b9f0cbcd,"logs_archive/r7b_full_queue_20260708_022104.log.gz",1820,dcae98a5d616569a5012fd74c4e5efc6579b8e9a7ece3f20e39ca95f28912746
"logs/r7b_full_queue_resume_20260709_030104.log",2741,da9e5f6d4002b6566e1517cb6d486bd96955e4e7a52c6590f2478500ccf3a6c9,"logs_archive/r7b_full_queue_resume_20260709_030104.log.gz",1090,c67d27c6714a44e1a3a68f47b300534b158228b74ef2fb8aca9e1b484e84a0c1
"logs/r7c_full_20260710_211941.log",0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"logs_archive/r7c_full_20260710_211941.log.gz",20,f61f27bd17de546264aa58f40f3aafaac7021e0ef69c17f6b1b4cd7664a037ec
"logs/r7c_smoke_20260710_205708.log",1322,b7660ea40c69c6fc3887465dab0154e52f62eb3149ea20bdadc759291bf46876,"logs_archive/r7c_smoke_20260710_205708.log.gz",607,94dec923a58f69579319481aa75e3a8c74e075f794acd7d32c9a8cdab616adf2
"logs/r8_analysis_fix.log",580,d94784d1b2f7a5dbd2056f8f471f8e38217153c7eeb9079de91ce7258b069953,"logs_archive/r8_analysis_fix.log.gz",384,8f7fca5336a7533a011f8693db7cee2ba771fcb11e96e9638ca4c8888e5e80db
"logs/r8_analysis_full.log",580,d94784d1b2f7a5dbd2056f8f471f8e38217153c7eeb9079de91ce7258b069953,"logs_archive/r8_analysis_full.log.gz",384,8f7fca5336a7533a011f8693db7cee2ba771fcb11e96e9638ca4c8888e5e80db
"logs/r8_attack/analyze.log",857,af9e9590790e91f5ba4fb05f5ffa697d3a94c8490c2d10367285371ecc61bc97,"logs_archive/r8_attack/analyze.log.gz",356,faf93befee5208ff4ef33c6dc29c69b9b0899d9ef0f2b65a063b4e36c304bdbf
"logs/r8_attack/dev_gemma4_31b.log",4295188,3151e6adb336e13d4c55e37f5229cdb331e3f2edace9f701bc6723545c25dbc6,"logs_archive/r8_attack/dev_gemma4_31b.log.gz",323432,476e9f764baae96929dbad4e3ae4f7ca4b19e40c748f48ea1ac682fed7df65c4
"logs/r8_attack/dev_gpt_oss_120b.log",4254047,436a0dd66d8469fbf99dfe11dd737bc723607377b8de05904a41ec5037d6c643,"logs_archive/r8_attack/dev_gpt_oss_120b.log.gz",378675,efd1b675ac2809f18eb739cfb0ccc8589f9a5d6a0523a6c058d3f4476de2d5f3
"logs/r8_attack/dev_mistral_small_3p2.log",4489446,315e9a22815d1dc86cb9b807fdd86d47ce602642901e17c3c21f9917bf2cf296,"logs_archive/r8_attack/dev_mistral_small_3p2.log.gz",415790,c8ff4c1e69c38ba234f7b9ef638cba6dc8ae61f600fef440a1842601f6b9550b
"logs/r8_attack/extract_dev.log",1212,8f24d12e1ce11650ecafa17a547dc1e4eda7a13ad2f80e543808fb2a4749dbc8,"logs_archive/r8_attack/extract_dev.log.gz",539,12a26e44b43df7fc89dcd5e0941a99f9b845c153507c1b8eaa9585b6ff97133e
